swap_count,mean_opinion_percent,mean_majority_opinion_percent,mean_minority_opinion_percent,mean_misp,std_opinion_percent,std_majority_opinion_percent,std_minority_opinion_percent
95,20.954192729527218,11.959982508745627,38.88875562485819,45.71247393713945,0.9972083180870371,1.4183750391363938,1.1165865444314682
96,20.904110136799705,11.858170914542727,38.941821280581586,45.76255652986697,0.9809480856597945,1.3904313296214188,1.124411714366859
97,20.857423535085815,11.763105947026487,38.991601719659215,45.80924313158086,0.9652754135982415,1.3652384092936152,1.1216911423961948
98,20.810859236766085,11.669565217391302,39.03870898797448,45.85580742990059,0.9498968784451646,1.3433952984488122,1.1244433431077165
99,20.76786394619723,11.579097951024487,39.09037338567343,45.89880272046944,0.9355467674031943,1.3213624676156175,1.1288019335457125
100,20.72593772313245,11.488918040979508,39.14466559233561,45.940728943534225,0.9211769390161707,1.2931226819337949,1.129326256541864
101,20.686006968889377,11.403510744627685,39.19541560768665,45.9806596977773,0.9064343872034508,1.270021919959515,1.1323439880302162
102,20.647230642648015,11.321714142928537,39.24242222592098,46.01943602401866,0.895209910942713,1.2510482240647838,1.1373267950820671
103,20.61043733220892,11.24302848575712,39.28916275657089,46.056229334457754,0.8841369428118934,1.2343247856355095,1.1403015115429662
104,20.573962887159404,11.167678660669663,39.330206284890444,46.09270377950727,0.8756579221048665,1.224445153566779,1.1415999538195887
105,20.538397771297074,11.084445277361318,39.38969226519293,46.1282688953696,0.8668275842984402,1.2079246755495323,1.142469176771325
106,20.503279550519416,11.00770864567716,39.43756165418691,46.163387116147256,0.8586403222289598,1.1940686976004133,1.1412151578223142
107,20.469777630102787,10.935994502748624,39.48025536309043,46.19688903656389,0.8537716133850969,1.1809764342818556,1.1427836961261872
108,20.43732262878363,10.865317341329334,39.524015806761355,46.22934403788304,0.8479556374883093,1.1706816281131815,1.1437883061413985
109,20.405031600022326,10.794677661169413,39.568192448154186,46.261635066644345,0.8445011149196279,1.1622622297360248,1.136977878497255
110,20.373152984494485,10.727811094452772,39.6060802263142,46.29351368217219,0.8409379911540412,1.153780228318001,1.1410972145725256
111,20.340926153943844,10.659857571214392,39.64509284884749,46.32574051272283,0.8368254215528418,1.1445358584473861,1.1438903357244918
112,20.30966478811955,10.592741129435282,39.6853269338792,46.35700187854712,0.8341385756376684,1.1399463812925983,1.1417003068474936
113,20.278415602814732,10.52381309345327,39.72920982806843,46.38825106385194,0.8311482603283941,1.1355489479075977,1.140792639918995
114,20.247196344108676,10.45934532733633,39.764288491325395,46.419470322558,0.83122587136443,1.1328372250092194,1.1477988375310977
115,20.215176936477757,10.389730134932531,39.80723552878051,46.45148973018891,0.8320459931223322,1.1346729439862893,1.1488764238221978
116,20.183858118794404,10.321064467766117,39.850386776234046,46.48280854787227,0.8321010175991688,1.1321145571820783,1.1466426740367894
117,20.150884603715546,10.248638180909543,39.89608256056823,46.515782062951125,0.8334811640984161,1.1317092609416015,1.1495816843962579
118,20.117785158680277,10.179072963518239,39.93569630232673,46.548881507986394,0.8345142930419165,1.1325953268825675,1.1496546506387764
119,20.083485778172243,10.106109445277362,39.97849367550156,46.583180888494425,0.8354544165120652,1.1339306899385266,1.1540985884889114
120,20.050906364153953,10.039005497251374,40.014756595762094,46.61576030251272,0.8375156535398318,1.1346150508976371,1.149496979913711
121,20.01704315296164,9.966954022988507,40.057041238476934,46.64962351370503,0.8394972113872161,1.1382208843960733,1.1430459364802994
122,19.984712638891327,9.89716391804098,40.099405597233634,46.68195402777535,0.8419184427723794,1.1406401419358216,1.1390849880881175
123,19.95252851834084,9.82667416291854,40.14360337076973,46.71413814832583,0.8435153650728814,1.1424223413455914,1.1393463282097485
124,19.919611194039312,9.756071964017991,40.18583013773453,46.74705547262736,0.8467486417431153,1.1469728514186497,1.1334328688832094
125,19.887746596501348,9.682658670664667,40.23681413724155,46.77892007016533,0.8497332110674009,1.1514198412860446,1.1300063023208127
126,19.855968679107768,9.612468765617193,40.281630183253654,46.8106979875589,0.8526798567871127,1.15437343965993,1.1216920589580346
127,19.824658600040628,9.54182908545727,40.32874379977871,46.84200806662604,0.8566965856448661,1.1589434646514267,1.1105427896958782
128,19.793163676998937,9.475912043978012,40.36588699314247,46.873502989667735,0.8601437216151117,1.1636783669131014,1.0982660453422461
129,19.764503501545835,9.413668165917041,40.40419312288947,46.90216316512084,0.8643609833042841,1.167192274642256,1.0915807864527456
130,19.738517093917476,9.35624687656172,40.440888245890335,46.92814957274919,0.8716107057920098,1.1732069343302618,1.0792192371954887
131,19.713383953880925,9.302423788105948,40.472963206593924,46.95328271278575,0.8780217809320932,1.1783719327203417,1.062444249965117
132,19.689792063113984,9.255472263868064,40.49595070472411,46.97687460355269,0.8839642657639706,1.1847400685668037,1.050661865738113
133,19.66910022489082,9.213518240879559,40.51765591755997,46.99756644177585,0.8901272611898724,1.1912866324874531,1.033903260184011
134,19.64942897517726,9.174162918540729,40.537234944398605,47.01723769148941,0.8958204604754347,1.1957062209025062,1.0166960795481688
135,19.63033819138774,9.133583208395802,40.56099333711418,47.036328475278935,0.9028668273328262,1.2033748810607008,0.9967338780786712
136,19.615555561854205,9.102973513243377,40.57777006597041,47.05111110481246,0.9089496958950419,1.2105750249823082,0.9824609152564482
137,19.60326359272994,9.08150924537731,40.583767770385194,47.063403073936726,0.9149478295219922,1.2166910824960775,0.9716674784251538
138,19.59338256006343,9.064542728635681,40.58801527782055,47.07328410660324,0.9203923749894607,1.224451759948929,0.956473986431553
139,19.58716185095946,9.053723138430785,40.59096479270828,47.07950481570721,0.9287342566859628,1.2342788835091656,0.9316949247233862
140,19.583072910732692,9.049425287356321,40.58729242321372,47.083593755933975,0.9346222426098286,1.2427508124361832,0.9161469188660907
141,19.58134052012914,9.052273863068466,40.57642553091478,47.08532614653753,0.9412981232465832,1.2543295117871653,0.8996771534923446
142,19.58210987666175,9.061294352823586,40.56074202898574,47.084556790004925,0.9468122665552202,1.2613930530024051,0.8847265076410021
143,19.583744868444082,9.06864067966017,40.55098855027069,47.082921798222586,0.9515888239339816,1.2678281643320843,0.8778571288126616
144,19.588451841283355,9.08255872063968,40.53732854292615,47.07821482538331,0.958684688561626,1.2792416588211668,0.8639904990910023
145,19.594421826262764,9.102623688155921,40.51519296392491,47.07224484040391,0.964307553195034,1.2908843268991916,0.8581842694777484
